1000002,1,55
1000002,1000006,33
1000002,1000007,8
1000002,1000009,144
1000002,1000010,314
1000002,1000013,8
1000002,1000014,42
1000002,1000017,69
1000002,1000024,329
1000002,1000025,1
1000002,1000028,17
1000002,1000031,47
1000002,1000033,15
1000002,1000042,1
1000002,1000045,1
1000002,1000054,2
1000002,1000055,25
1000002,1000056,4
1000002,1000059,2
1000002,1000062,71
1000002,1000088,157
1000002,1000099,57
1000002,1000107,4
1000002,1000113,30
1000002,1000123,27
1000002,1000127,53
1000002,1000139,56
1000002,1000140,95
1000002,1000157,2
1000002,1000183,49
1000002,1000188,125
1000002,1000201,1
1000002,1000210,23
1000002,1000243,1
1000002,1000251,4
1000002,1000260,7
1000002,1000265,16
1000002,1000266,38
1000002,1000283,3
1000002,1000288,1
1000002,1000289,36
1000002,1000293,1
1000002,1000295,2
1000002,1000302,1
1000002,1000305,5
1000002,1000315,155
1000002,1000317,35
1000002,1000322,98
1000002,1000323,236
1000002,1000325,4
1000002,1000340,17
1000002,1000343,2
1000002,1000382,3
1000002,1000424,1
1000002,1000434,89
1000002,1000438,45
1000002,1000440,14
1000002,1000450,3
1000002,1000451,54
1000002,1000456,4
1000002,1000457,1
1000002,1000481,2
1000002,1000498,3
1000002,1000503,16
1000002,1000515,18
1000002,1000518,83
1000002,1000520,12
1000002,1000522,72
1000002,1000569,1
1000002,1000597,23
1000002,1000620,4
1000002,1000623,2
1000002,1000625,2
1000002,1000630,4
1000002,1000631,27
1000002,1000632,119
1000002,1000639,3
1000002,1000660,2
1000002,1000674,1
1000002,1000676,17
1000002,1000677,35
1000002,1000716,1
1000002,1000724,67
1000002,1000726,5
1000002,1000727,5
1000002,1000730,10
1000002,1000737,104
1000002,1000738,4
1000002,1000740,2
1000002,1000744,1
1000002,1000751,3
1000002,1000761,2
1000002,1000762,1
1000002,1000764,2
1000002,1000766,1
1000002,1000768,2
1000002,1000773,3
1000002,1000781,11
1000002,1000840,3
1000002,1000848,1
1000002,1000853,11
1000002,1000855,4
1000002,1000874,1
1000002,1000904,54
1000002,1000931,1
1000002,1000933,48
1000002,1000981,33
1000002,1000982,5
1000002,1000985,115
1000002,1001007,13
1000002,1001008,151
1000002,1001065,1
1000002,1001129,23
1000002,1001130,3
1000002,1001152,2
1000002,1001167,2
1000002,1001172,3
1000002,1001174,5
1000002,1001178,4
1000002,1001180,2
1000002,1001207,1
1000002,1001208,1
1000002,1001220,1
1000002,1001223,3
1000002,1001229,1
1000002,1001230,3
1000002,1001233,12
1000002,1001240,2
1000002,1001249,17
1000002,1001261,1
1000002,1001265,8
1000002,1001270,2
1000002,1001273,4
1000002,1001276,1
1000002,1001281,1
1000002,1001291,1
1000002,1001292,1
1000002,1001293,1
1000002,1001294,3
1000002,1001295,1
1000002,1001296,1
1000002,1001300,2
1000002,1001302,2
1000002,1001304,1
1000002,1001306,5
1000002,1001307,1
1000002,1001310,1
1000002,1001313,1
1000002,1001320,2
1000002,1001327,2
1000002,1001328,3
1000002,1001329,2
1000002,1001332,3
1000002,1001333,1
1000002,1001341,2
1000002,1001342,1
1000002,1001343,1
1000002,1001345,3
1000002,1001346,2
1000002,1001347,5
1000002,1001348,1
1000002,1001351,2
1000002,1001352,1
1000002,1001353,1
1000002,1001355,3
1000002,1001358,4
1000002,1001362,3
1000002,1001363,1
1000002,1001380,3
1000002,1001402,6
1000002,1001410,5
1000002,1001426,2
1000002,1001478,13
1000002,1001483,3
1000002,1001528,1
1000002,1001529,3
1000002,1001531,17
1000002,1001550,1
1000002,1001551,5
1000002,1001646,8
1000002,1001653,6
1000002,1001674,1
1000002,1001708,4
1000002,1001727,11
1000002,1001757,2
1000002,1001804,3
1000002,1001807,1
1000002,1001812,1
1000002,1001835,4
1000002,1001836,9
1000002,1001855,8
1000002,1001858,13
1000002,1001888,56
1000002,1001900,2
1000002,1001910,22
1000002,1001920,1
1000002,1001989,3
1000002,1002098,1
1000002,1002178,19
1000002,1002214,87
1000002,1002287,32
1000002,1002382,21
1000002,1002401,3
1000002,1002439,1
1000002,1002457,4
1000002,1002498,1
1000002,1002517,1
1000002,1002556,4
1000002,1002577,5
1000002,1002586,1
1000002,1002615,58
1000002,1002624,1
1000002,1002732,35
1000002,1002736,1
1000002,1002794,27
1000002,1002801,6
1000002,1002802,6
1000002,1002837,3
1000002,1002852,1
1000002,1002909,2
1000002,1002914,1
1000002,1002915,1
1000002,1002916,1
1000002,1003030,3
1000002,1003039,2
1000002,1003069,1
1000002,1003083,23
1000002,1003084,17
1000002,1003158,4
1000002,1003159,1
1000002,1003168,4
1000002,1003212,3
1000002,1003263,5
1000002,1003265,87
1000002,1003342,5
1000002,1003365,2
1000002,1003367,8
1000002,1003369,2
1000002,1003370,2
1000002,1003371,1
1000002,1003373,3
1000002,1003376,2
1000002,1003377,1
1000002,1003378,1
1000002,1003379,3
1000002,1003380,3
1000002,1003381,2
1000002,1003382,3
1000002,1003383,1
1000002,1003384,2
1000002,1003386,1
1000002,1003387,2
1000002,1003388,4
1000002,1003389,1
1000002,1003391,1
1000002,1003394,5
1000002,1003395,2
1000002,1003396,1
1000002,1003397,1
1000002,1003398,1
1000002,1003402,4
1000002,1003404,1
1000002,1003405,1
1000002,1003406,5
1000002,1003408,1
1000002,1003409,3
